代码,简称,日期,涨跌幅(%),
881001.WI,万得全A,2011-01-24,-1.0346,
881001.WI,万得全A,2011-01-25,-0.7681,
881001.WI,万得全A,2011-01-26,1.2346,
881001.WI,万得全A,2011-01-27,1.4896,
881001.WI,万得全A,2011-01-28,0.3308,
881001.WI,万得全A,2011-01-31,1.2382,
881001.WI,万得全A,2011-02-01,0.3138,
881001.WI,万得全A,2011-02-09,-0.9298,
881001.WI,万得全A,2011-02-10,1.9558,
881001.WI,万得全A,2011-02-11,0.5122,
881001.WI,万得全A,2011-02-14,2.5171,
881001.WI,万得全A,2011-02-15,-0.0197,
881001.WI,万得全A,2011-02-16,1.0466,
881001.WI,万得全A,2011-02-17,0.1028,
881001.WI,万得全A,2011-02-18,-0.9151,
881001.WI,万得全A,2011-02-21,1.3318,
881001.WI,万得全A,2011-02-22,-2.5519,
881001.WI,万得全A,2011-02-23,0.3105,
881001.WI,万得全A,2011-02-24,0.5532,
881001.WI,万得全A,2011-02-25,0.0343,
881001.WI,万得全A,2011-02-28,1.0286,
881001.WI,万得全A,2011-03-01,0.4596,
881001.WI,万得全A,2011-03-02,-0.1787,
881001.WI,万得全A,2011-03-03,-0.635,
881001.WI,万得全A,2011-03-04,1.3479,
881001.WI,万得全A,2011-03-07,1.8118,
881001.WI,万得全A,2011-03-08,0.1624,
881001.WI,万得全A,2011-03-09,0.092,
881001.WI,万得全A,2011-03-10,-1.3501,
881001.WI,万得全A,2011-03-11,-0.7203,
881001.WI,万得全A,2011-03-14,0.3393,
881001.WI,万得全A,2011-03-15,-1.4205,
881001.WI,万得全A,2011-03-16,1.2427,
881001.WI,万得全A,2011-03-17,-1.2561,
881001.WI,万得全A,2011-03-18,0.3717,
881001.WI,万得全A,2011-03-21,-0.068,
881001.WI,万得全A,2011-03-22,0.2722,
881001.WI,万得全A,2011-03-23,1.0453,
881001.WI,万得全A,2011-03-24,-0.0141,
881001.WI,万得全A,2011-03-25,1.0038,
881001.WI,万得全A,2011-03-28,-0.0034,
881001.WI,万得全A,2011-03-29,-1.073,
881001.WI,万得全A,2011-03-30,-0.1771,
881001.WI,万得全A,2011-03-31,-0.9731,
881001.WI,万得全A,2011-04-01,1.2504,
881001.WI,万得全A,2011-04-06,0.7947,
881001.WI,万得全A,2011-04-07,0.2937,
881001.WI,万得全A,2011-04-08,0.8522,
881001.WI,万得全A,2011-04-11,-0.3942,
881001.WI,万得全A,2011-04-12,-0.0568,
881001.WI,万得全A,2011-04-13,0.9503,
881001.WI,万得全A,2011-04-14,-0.3349,
881001.WI,万得全A,2011-04-15,0.1912,
881001.WI,万得全A,2011-04-18,0.2235,
881001.WI,万得全A,2011-04-19,-1.7164,
881001.WI,万得全A,2011-04-20,0.2631,
881001.WI,万得全A,2011-04-21,0.69,
881001.WI,万得全A,2011-04-22,-0.5294,
881001.WI,万得全A,2011-04-25,-1.6229,
881001.WI,万得全A,2011-04-26,-0.9656,
881001.WI,万得全A,2011-04-27,-0.5793,
881001.WI,万得全A,2011-04-28,-1.6396,
881001.WI,万得全A,2011-04-29,1.0353,
881001.WI,万得全A,2011-05-03,0.8529,
881001.WI,万得全A,2011-05-04,-2.2673,
881001.WI,万得全A,2011-05-05,0.1698,
881001.WI,万得全A,2011-05-06,-0.1687,
881001.WI,万得全A,2011-05-09,0.3744,
881001.WI,万得全A,2011-05-10,0.6172,
881001.WI,万得全A,2011-05-11,-0.1439,
881001.WI,万得全A,2011-05-12,-1.3275,
881001.WI,万得全A,2011-05-13,0.8589,
881001.WI,万得全A,2011-05-16,-0.6533,
881001.WI,万得全A,2011-05-17,0.0466,
881001.WI,万得全A,2011-05-18,0.6768,
881001.WI,万得全A,2011-05-19,-0.418,
881001.WI,万得全A,2011-05-20,-0.0994,
881001.WI,万得全A,2011-05-23,-3.0804,
881001.WI,万得全A,2011-05-24,-0.2031,
881001.WI,万得全A,2011-05-25,-0.9355,
881001.WI,万得全A,2011-05-26,-0.3393,
881001.WI,万得全A,2011-05-27,-1.1343,
881001.WI,万得全A,2011-05-30,-0.3655,
881001.WI,万得全A,2011-05-31,1.4893,
881001.WI,万得全A,2011-06-01,0.3257,
881001.WI,万得全A,2011-06-02,-1.3945,
881001.WI,万得全A,2011-06-03,1.0438,
881001.WI,万得全A,2011-06-07,0.7049,
881001.WI,万得全A,2011-06-08,0.2948,
881001.WI,万得全A,2011-06-09,-1.6906,
881001.WI,万得全A,2011-06-10,0.2634,
881001.WI,万得全A,2011-06-13,-0.0768,
881001.WI,万得全A,2011-06-14,1.2219,
881001.WI,万得全A,2011-06-15,-0.7038,
881001.WI,万得全A,2011-06-16,-1.5955,
881001.WI,万得全A,2011-06-17,-0.7959,
881001.WI,万得全A,2011-06-20,-0.8949,
881001.WI,万得全A,2011-06-21,1.1199,
881001.WI,万得全A,2011-06-22,0.0434,
881001.WI,万得全A,2011-06-23,1.635,
881001.WI,万得全A,2011-06-24,2.192,
881001.WI,万得全A,2011-06-27,0.5059,
881001.WI,万得全A,2011-06-28,0.0932,
881001.WI,万得全A,2011-06-29,-1.0864,
881001.WI,万得全A,2011-06-30,1.292,
881001.WI,万得全A,2011-07-01,0.1455,
881001.WI,万得全A,2011-07-04,2.0748,
881001.WI,万得全A,2011-07-05,0.2684,
881001.WI,万得全A,2011-07-06,-0.0223,
881001.WI,万得全A,2011-07-07,-0.4379,
881001.WI,万得全A,2011-07-08,0.0785,
881001.WI,万得全A,2011-07-11,0.3347,
881001.WI,万得全A,2011-07-12,-1.6538,
881001.WI,万得全A,2011-07-13,1.5368,
881001.WI,万得全A,2011-07-14,0.5348,
881001.WI,万得全A,2011-07-15,0.4518,
881001.WI,万得全A,2011-07-18,-0.14,
881001.WI,万得全A,2011-07-19,-0.7794,
881001.WI,万得全A,2011-07-20,-0.0444,
881001.WI,万得全A,2011-07-21,-1.0073,
881001.WI,万得全A,2011-07-22,0.2818,
881001.WI,万得全A,2011-07-25,-3.0988,
881001.WI,万得全A,2011-07-26,0.539,
881001.WI,万得全A,2011-07-27,0.9376,
881001.WI,万得全A,2011-07-28,-0.4659,
881001.WI,万得全A,2011-07-29,-0.445,
881001.WI,万得全A,2011-08-01,0.1478,
881001.WI,万得全A,2011-08-02,-0.8327,
881001.WI,万得全A,2011-08-03,0.0314,
881001.WI,万得全A,2011-08-04,0.2459,
881001.WI,万得全A,2011-08-05,-2.1096,
881001.WI,万得全A,2011-08-08,-3.9882,
881001.WI,万得全A,2011-08-09,-0.0583,
881001.WI,万得全A,2011-08-10,1.0681,
881001.WI,万得全A,2011-08-11,1.3962,
881001.WI,万得全A,2011-08-12,0.576,
881001.WI,万得全A,2011-08-15,1.3249,
881001.WI,万得全A,2011-08-16,-0.7193,
881001.WI,万得全A,2011-08-17,-0.2975,
881001.WI,万得全A,2011-08-18,-1.6388,
881001.WI,万得全A,2011-08-19,-0.9517,
881001.WI,万得全A,2011-08-22,-0.8281,
881001.WI,万得全A,2011-08-23,1.522,
881001.WI,万得全A,2011-08-24,-0.361,
881001.WI,万得全A,2011-08-25,2.7394,
881001.WI,万得全A,2011-08-26,-0.0085,
881001.WI,万得全A,2011-08-29,-1.2251,
881001.WI,万得全A,2011-08-30,-0.4771,
881001.WI,万得全A,2011-08-31,-0.0389,
881001.WI,万得全A,2011-09-01,-0.4661,
881001.WI,万得全A,2011-09-02,-1.0746,
881001.WI,万得全A,2011-09-05,-2.0739,
881001.WI,万得全A,2011-09-06,-0.5366,
881001.WI,万得全A,2011-09-07,1.9938,
881001.WI,万得全A,2011-09-08,-0.7261,
881001.WI,万得全A,2011-09-09,-0.1858,
881001.WI,万得全A,2011-09-13,-1.1853,
881001.WI,万得全A,2011-09-14,0.6282,
881001.WI,万得全A,2011-09-15,0.0241,
881001.WI,万得全A,2011-09-16,0.1334,
881001.WI,万得全A,2011-09-19,-1.7924,
881001.WI,万得全A,2011-09-20,0.4046,
881001.WI,万得全A,2011-09-21,2.6932,
881001.WI,万得全A,2011-09-22,-2.8161,
881001.WI,万得全A,2011-09-23,-0.5659,
881001.WI,万得全A,2011-09-26,-1.6709,
881001.WI,万得全A,2011-09-27,0.8238,
881001.WI,万得全A,2011-09-28,-1.0525,
881001.WI,万得全A,2011-09-29,-1.441,
881001.WI,万得全A,2011-09-30,-0.2217,
881001.WI,万得全A,2011-10-10,-0.614,
881001.WI,万得全A,2011-10-11,-0.0667,
881001.WI,万得全A,2011-10-12,3.1005,
881001.WI,万得全A,2011-10-13,0.9032,
881001.WI,万得全A,2011-10-14,-0.3531,
881001.WI,万得全A,2011-10-17,0.4338,
881001.WI,万得全A,2011-10-18,-2.5107,
881001.WI,万得全A,2011-10-19,-0.309,
881001.WI,万得全A,2011-10-20,-2.1381,
881001.WI,万得全A,2011-10-21,-0.8606,
881001.WI,万得全A,2011-10-24,2.2368,
881001.WI,万得全A,2011-10-25,1.8737,
881001.WI,万得全A,2011-10-26,0.8273,
881001.WI,万得全A,2011-10-27,0.2642,
881001.WI,万得全A,2011-10-28,1.7267,
881001.WI,万得全A,2011-10-31,-0.1161,
881001.WI,万得全A,2011-11-01,0.0643,
881001.WI,万得全A,2011-11-02,1.4876,
881001.WI,万得全A,2011-11-03,0.2869,
881001.WI,万得全A,2011-11-04,0.7807,
881001.WI,万得全A,2011-11-07,-0.6896,
881001.WI,万得全A,2011-11-08,-0.3492,
881001.WI,万得全A,2011-11-09,0.9897,
881001.WI,万得全A,2011-11-10,-1.6902,
881001.WI,万得全A,2011-11-11,0.0202,
881001.WI,万得全A,2011-11-14,2.0823,
881001.WI,万得全A,2011-11-15,0.0523,
881001.WI,万得全A,2011-11-16,-2.4929,
881001.WI,万得全A,2011-11-17,-0.1377,
881001.WI,万得全A,2011-11-18,-2.063,
881001.WI,万得全A,2011-11-21,-0.0101,
881001.WI,万得全A,2011-11-22,-0.0946,
881001.WI,万得全A,2011-11-23,-0.6889,
881001.WI,万得全A,2011-11-24,0.1315,
881001.WI,万得全A,2011-11-25,-0.6911,
881001.WI,万得全A,2011-11-28,0.1244,
881001.WI,万得全A,2011-11-29,1.2803,
881001.WI,万得全A,2011-11-30,-3.3917,
881001.WI,万得全A,2011-12-01,2.2624,
881001.WI,万得全A,2011-12-02,-1.2613,
881001.WI,万得全A,2011-12-05,-1.5961,
881001.WI,万得全A,2011-12-06,-0.1902,
881001.WI,万得全A,2011-12-07,0.2961,
881001.WI,万得全A,2011-12-08,-0.1109,
881001.WI,万得全A,2011-12-09,-0.7161,
881001.WI,万得全A,2011-12-12,-1.0817,
881001.WI,万得全A,2011-12-13,-2.0669,
881001.WI,万得全A,2011-12-14,-1.0267,
881001.WI,万得全A,2011-12-15,-2.1961,
881001.WI,万得全A,2011-12-16,2.1588,
881001.WI,万得全A,2011-12-19,-0.1797,
881001.WI,万得全A,2011-12-20,-0.1393,
881001.WI,万得全A,2011-12-21,-1.4002,
881001.WI,万得全A,2011-12-22,-0.3556,
881001.WI,万得全A,2011-12-23,0.8633,
881001.WI,万得全A,2011-12-26,-0.7502,
881001.WI,万得全A,2011-12-27,-1.4365,
881001.WI,万得全A,2011-12-28,0.0618,
881001.WI,万得全A,2011-12-29,0.1969,
881001.WI,万得全A,2011-12-30,1.2943,
881001.WI,万得全A,2012-01-04,-1.6279,
881001.WI,万得全A,2012-01-05,-1.5288,
881001.WI,万得全A,2012-01-06,0.663,
881001.WI,万得全A,2012-01-09,3.0735,
881001.WI,万得全A,2012-01-10,2.9696,
881001.WI,万得全A,2012-01-11,-0.3385,
881001.WI,万得全A,2012-01-12,-0.0669,
881001.WI,万得全A,2012-01-13,-1.7202,
881001.WI,万得全A,2012-01-16,-2.0339,
881001.WI,万得全A,2012-01-17,4.3637,
